产地,产品类型,阶段,检验日期,生产日期,产品编号,规格型号,材质分类,产品分类,产品批号,原材料,原材料批号,模具编号,总数量,合格数,一次硫化合格率,"不合格
数量",一次硫化缺胶,"一次硫化开
裂",一次硫化杂质,型腔坏,一硫尺寸不合格,"一次硫化合模线
撕裂","一次硫
化粘模",一次硫化污染,"一次硫化
凹陷",一次硫化合模线粗,一次硫化流痕,一次硫化气泡,一次硫熔接不良,"一次硫化
其他",操作员,二次硫化检查总数pcs,"总不
合格数pcs","总合
格率%",最终良品数pcs,污染,"杂质
","表面
凹陷","合模线
凹陷",合模线撕裂,"粘胶
",粘皮,缺胶,断裂,毛刺,开裂 ,气泡,压痕,尺寸不合格,粘模,划伤,表面发亮异点,修边不良,油污,焦烧,堵孔,水印印迹,变形,合模线开裂,合模线分开,拉丝,裁断不良,"胶
不
熟",加工痕迹,生锈,流痕,熔接不良,色差,打磨过度,混料,激光不良,其他,检验员,工时数H,,,,,,,,,,,,,,,,
上海,半导体,样品,2024/5/3,2024/4/30,1202012274,FKM黑色70邵A 2-274 253.59*3.53,FKM黑色,美标O型圈,2024042972,HPE5021WR,2M02401300061,0601050458,38,31,81.58%,7,7,0,0,,,0,0,,0,,,0,,0,于鑫鑫,31,2,93.55%,29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,周志杰,0.5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/3,2024/4/28,0101020526,FVMQ红棕色57邵A  φ87.7*8.5,FVMQ红棕色,定制异形件,2024042901,,,,467,,0.00%,0,,,,,,,,,,,,,,,,477,70,85.32%,407,27,8,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,,,,0,肖亚男,5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/3,2024/4/29,0101020526,FVMQ红棕色57邵A  φ87.7*8.5,FVMQ红棕色,定制异形件,2024042901,,,,78,,0.00%,0,,,,,,,,,,,,,,,,73,11,84.93%,62,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,,,0,肖亚男,0.5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/3,2024/4/28,0101020526,FVMQ红棕色57邵A  φ87.7*8.5,FVMQ红棕色,定制异形件,2024042901,,,,256,,0.00%,0,,,,,,,,,,,,,,,,256,56,78.13%,200,31,0,7,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,,,0,陈燕,4,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/3,2024/4/26,0101020490,FVMQ米黄色60邵A 伞型阀膜片1 φ15.4,FVMQ米黄色,定制异形件,2024042934,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,1170,130,88.89%,1040,0,74,15,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,陈燕,1,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/3,2024/4/22,0104010023,PTFE蓝色 2.36*4.025*19.1 CSS 375T-12689727,PTFE蓝色,滑动密封垫,2024042856,,,0603020008,,,#DIV/0!,0,,,,,,,,,,,,,,,,5987,337,94.37%,5650,2,0,175,0,0,0,54,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,朱瑞哲,2,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/3,2024/4/27,0103020084,铜 + 低温FKM黑色75邵A BODY-VALVE,FKM黑色,橡胶金属结合件,2024012132,KC7501118AVPL,2M02311210150,0601040032,,,#DIV/0!,0,,,,,,,,,,,,,,,,383,0,100.00%,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,林顺春,3.5,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/3,2024/4/26,0103020084,铜 + 低温FKM黑色75邵A BODY-VALVE,FKM黑色,橡胶金属结合件,2024012132,KC7501118AVPL,2M02311210150,0601040032,,,#DIV/0!,0,,,,,,,,,,,,,,,,128,0,100.00%,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,林顺春,2,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/3,2024/4/27,0101020526,FVMQ红棕色57邵A  φ87.7*8.5,FVMQ红棕色,定制异形件,2024042901,,,,681,,0.00%,0,,,,,,,,,,,,,,,,668,185,72.31%,483,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,13,0,0,0,0,,,,0,曹文文,7,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/3,2024/4/21,0101020211,VMQ蓝色50邵A Seal Mat 自出油,VMQ蓝色,定制异形件,2024032711,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,1897,147,92.25%,1750,0,19,110,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,曹长侠,8,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/3,2024/4/13,0101020268,EPDM紫色40邵A 环形密封圈 59.2*34.2*8.8,EPDM紫色,定制异形件,2024042812-2,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,2251,811,63.97%,1440,0,151,122,0,0,0,52,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,随云,8,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/3,2024/3/24,0101020298,FKM黑色75邵A 5孔氧传感器橡胶塞 φ8.8*φ12*10,FKM黑色,定制异形件,24020549-A,,A202403040415,,2815,,0.00%,0,,,,,,,,,,,,,,,,562,142,74.73%,420,0,0,62,0,0,0,62,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,姚月平,1,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/3,2024/4/26,0101020211,VMQ蓝色50邵A Seal Mat 自出油,VMQ蓝色,定制异形件,2024032711-9,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,1364,114,91.64%,1250,0,0,68,0,0,0,0,9,0,21,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,任菊,5.33,,,,,,,,,,,,,,,,
外购,/,/,2024/5/3,/,0304040082,阀-铜件 φ31.62X20.65,/,金属件,/,/,/,/,4500,,0.00%,0,,,,,,,,,,,,,,,,1401,1,99.93%,1400,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,任菊,2.67,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/3,2024/4/28,0103020084,铜 + 低温FKM黑色75邵A BODY-VALVE,FKM黑色,橡胶金属结合件,2024012132,KC7501118AVPL,2M02311210150,0601040032,995,991,99.60%,4,,,,,,,,,,,,,,4,姚书川,100,0,100.00%,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,林顺春,2.5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/3,2024/4/27,0101020211,VMQ蓝色50邵A Seal Mat 自出油,VMQ蓝色,定制异形件,2024032711-9,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,1897,147,92.25%,1750,0,4,62,0,0,0,0,21,0,43,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,时光元,7.5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/3,2024/4/22,0101020211,VMQ蓝色50邵A Seal Mat 自出油,VMQ蓝色,定制异形件,2024032711,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,266,16,93.98%,250,0,0,8,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,曹文文,1,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/3,2023/12/25,0101020245,FKM黑色75邵A φ28.98*7.92 D-0750-469,FKM黑色,定制异形件,2023120058,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,2246,936,58.33%,1310,0,42,84,0,0,0,256,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,李春仙,8,,,,,,,,,,,,,,,,
